smi,id,qm,nmr,type
c1ccc(cc1)F,1,24.0348,7,H
c1ccc(cc1)F,0,23.9722,7,H
c1ccc(cc1)Cl,2,23.769,7.22,H
c1ccc(cc1)Cl,1,23.7626,7.22,H
c1ccc(cc1)Cl,0,23.8617,7.22,H
c1ccc(cc1)N(=O)=O,2,22.7059,8.2,H
c1ccc(cc1)N(=O)=O,1,23.315,7.57,H
c1ccc(cc1)N(=O)=O,0,23.5806,7.57,H
C1=CC(=O)C=CC1=O,0,24.5667,6.79,H
c1c(cccc1)C,6,29.3399,2.29,H
c1c(cccc1)C,0,23.8848,7.04,H
c1c(cccc1)C,5,23.8681,7.04,H
c1c(cccc1)C,4,24.001,7.04,H
C1=C[C@H]2C[C@@H]1C=C2,3,29.5427,1.96,H
C1=C[C@H]2C[C@@H]1C=C2,2,27.9077,3.52,H
C1=C[C@H]2C[C@@H]1C=C2,0,24.2757,6.69,H
c1c(cccc1)N(C)C,0,24.4869,6.56,H
c1c(cccc1)N(C)C,5,23.929,7.1,H
c1c(cccc1)N(C)C,4,24.5903,6.5,H
c1c(cccc1)N(C)C,7,28.8194,2.85,H
c12c(cccc1)cc[nH]2,7,24.0873,6.76,H
c12c(cccc1)cc[nH]2,6,24.7611,6.38,H
c12c(cccc1)cc[nH]2,5,23.9924,7.03,H
c12c(cccc1)cc[nH]2,4,23.6949,7.03,H
c12c(cccc1)cc[nH]2,3,23.8849,7.03,H
C(=S)=NC,3,28.332,3.325,H
C(=O)/C=C/C,0,21.768,9.497,H
C(=O)/C=C/C,2,25.2461,6.145,H
C(=O)/C=C/C,3,24.0582,6.88,H
C(=O)/C=C/C,4,29.6128,2.032,H
C(=C(\C)/C(C)C)\C,6,30.1361,1.56,H
C(=C(\C)/C(C)C)\C,0,26.1725,5.222,H
C(=C(\C)/C(C)C)\C,3,29.4723,2.221,H
C(=C(\C)/C(C)C)\C,4,30.6868,0.978,H
C(=C(\C)/C(C)C)\C,2,30.204,1.56,H
O1C(=O)C=CC1=O,3,24.2823,7.048,H
C1OCC=C1,0,26.7752,4.63,H
C1OCC=C1,3,25.3285,5.89,H
c1ccccn1,0,22.6264,8.593,H
c1ccccn1,1,23.8051,7.231,H
c1ccccn1,2,23.3803,7.617,H
c1c(nccn1)C,0,22.7272,8.568,H
c1c(nccn1)C,4,22.8647,8.376,H
c1c(nccn1)C,3,22.7393,8.453,H
c1c(nccn1)C,6,29.0951,2.566,H
C1CC(=C)C1,3,26.67,4.685,H
C1CC(=C)C1,1,28.7368,2.685,H
C1CC(=C)C1,0,29.1442,1.928,H
C1COCOC1,3,26.8199,4.853,H
C1COCOC1,1,27.8771,3.912,H
C1COCOC1,0,29.7371,1.78,H
C(C)(OC)OC,0,27.2834,4.568,H
C(C)(OC)OC,1,30.659,1.281,H
C(C)(OC)OC,3,28.5566,3.309,H
c1ccc(s1)C,2,24.5101,6.754,H
c1ccc(s1)C,1,24.4174,6.89,H
c1ccc(s1)C,0,24.0588,7.07,H
c1ccc(s1)C,5,29.1109,2.495,H
C(C#N)C#N,0,27.8025,3.604,H
C1COC(=O)O1,0,27.2351,4.541,H
C(C)SCC,3,28.9388,2.547,H
C(C)SCC,4,30.3276,1.256,H
C(=C\C#N)/C#N,0,24.8414,6.295,H
[C@H]1(CC(=O)O1)C,0,26.9807,4.704,H
[C@H]1(CC(=O)O1)C,5,30.1042,1.563,H
N(C)(C)C#N,1,28.8523,2.853,H
C=CC[N]C=S,1,25.1572,5.83,H
C=CC[N]C=S,2,27.2977,4.147,H
C1C(=O)O[C]1[CH2],0,27.6117,3.897,H
CC(C)(C)C=O,2,30.3524,1.08,H
CC(C)(C)C=O,4,21.7152,9.48,H
C=C(C=C)C,0,26.2036,4.99,H
C=C(C=C)C,2,24.5596,6.44,H
C=C(C=C)C,4,29.7191,1.85,H
C(=O)(C#N)OCC,5,27.3264,4.412,H
C(=O)(C#N)OCC,6,30.3392,1.394,H
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,1,30.2659,1.478,H
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,0,30.3816,1.345,H
