SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
CCc1ccccc1,1,1,85.06,85.4,C-H
Cc1ccccc1C,0,0,88.45,89.5,C-H
Cc1ccc(C)cc1,0,0,88.41,89,C-H
Cc1cccc(C)c1,0,0,88.47,89.5,C-H
Cc1ccc(F)cc1,0,0,88.59,88.7,C-H
Cc1cccc(F)c1,0,0,88.7,89.4,C-H
N#CCc1ccccc1,2,2,80.82,81.5,C-H
Cc1cccc(C#N)c1,0,0,89.34,88.7,C-H
Cc1ccc(C#N)cc1,0,0,88.23,88,C-H
C=CCc1ccccc1,2,2,76.49,84.4,C-H
c2ccc(C1CC1)cc2,4,4,94,92.1,C-H
C/C=C/c1ccccc1,0,0,79.69,78.9,C-H
c2ccc1CCCc1c2,4,4,85.54,85.3,C-H
CCCc1ccccc1,2,2,84.97,86.1,C-H
CCc1ccc(C)cc1,6,6,88.23,87,C-H
Cc1ccc(C)c(C)c1,5,5,88.32,89.1,C-H
CC(C)c1ccccc1,1,1,84.28,83.2,C-H
Cc1cc(C)cc(C)c1,0,0,88.57,89.4,C-H
Cc1cccc(C)c1C,0,0,88.66,89.5,C-H
O=C(O)c1ccccc1,7,7,109.7,113.8,C-H
O=C(O)c1ccccc1,6,6,110.03,114,C-H
O=C(O)c1ccccc1,5,5,110.51,114.5,C-H
Cc1cccc(C=O)c1,0,0,88.9,90.5,C-H
Cc1ccc(C=O)cc1,0,0,87.89,86.6,C-H
Clc1ccccc1,4,4,89.23,89,C-H
Clc1ccccc1,3,3,89.03,89.9,C-H
c2ccc1ccccc1c2,1,1,109.6,111.9,C-H
c2ccc1ccccc1c2,2,2,109.99,112.2,C-H
C2=Cc1ccccc1CC2,9,9,73.69,80.4,C-H
C2=C(c1ccccc1)CC2,9,9,84.33,85.6,C-H
c2ccc1CCCCc1c2,4,4,84.2,85.5,C-H
CC(C)(C)c1ccccc1,0,0,98.82,98.6,C-H
Cc1ccccc1C(C)C,0,0,88.41,87.6,C-H
CCc1ccc(CC)cc1,1,1,85.42,86.5,C-H
Cc1cccc(C(C)C)c1,0,0,88.33,86.8,C-H
COCc1ccc(C)cc1,7,7,88.07,85.4,C-H
N#CC1=CCc2ccccc12,4,4,76.74,77.9,C-H
Cc2ccc1ccccc1c2,0,0,88.15,85.6,C-H
Cc1cccc2ccccc12,0,0,87.85,85.1,C-H
COC1=CCc2ccccc12,4,4,76.01,76.4,C-H
c2ccc(C1CCCC1)cc2,4,4,80.19,88,C-H
C2=Cc1ccccc1C2,8,8,78.35,83,C-H
CC2CCCc1ccccc12,1,1,81.58,80.4,C-H
COC(C#N)c1ccccc1,2,2,72.87,76.2,C-H
Cc1cccc(C)c1C(C)C,8,8,86.24,86.7,C-H
Cc1ccc(C(C)(C)C)cc1,0,0,88.37,89.3,C-H
c1cc2CCc3cccc(c1)c23,3,3,83.41,84,C-H
Brc1ccccc1,4,4,110.31,115.5,C-H
Cc2ccc1cc(C)ccc1c2,0,0,87.98,86.8,C-H
CCc2ccc1ccccc1c2,1,1,85.41,87.1,C-H
CCc1cccc2ccccc12,1,1,84.32,87.1,C-H
Cc1cccc2c(C)cccc12,0,0,88.43,86.8,C-H
Cc2cc1ccccc1cc2C,0,0,87.76,86.8,C-H
C2=CC1CCCC3=C1C(=C2)CC3,11,11,75.23,78.8,C-H
NC(=O)C1=CCc2ccccc12,5,5,77.15,77.7,C-H
Cc1ccc(Cl)cc1Cl,0,0,89.22,88.6,C-H
Cc1ccc(Cl)c(Cl)c1,0,0,88.77,88.3,C-H
CC2CCc1ccccc1C2C,10,10,79.79,80.5,C-H
c2ccc(C1CCCCC1)cc2,4,4,86.84,85.2,C-H
CSC1=CCc2ccccc12,4,4,74.36,74.1,C-H
Cc1c(C)c(C)c(C)c(C)c1C,0,0,87.97,88.6,C-H
CCc1ccc(C(C)(C)C)cc1,1,1,85.11,86.5,C-H
CCOC(=O)c1ccc(C)cc1,9,9,88,89.4,C-H
CCOC(=O)c1cccc(C)c1,10,10,88.74,89.1,C-H
CCc1ccc(C(=O)OC)cc1,1,1,85.21,87,C-H
N#CCc1cccc2ccccc12,2,2,80.57,81.3,C-H
C1=Cc2cccc3cccc(C1)c23,11,11,61.22,74,C-H
c1ccc3c(c1)Cc2ccccc23,6,6,80.5,82,C-H
COC(OC)c1ccc(C)cc1,9,9,88.62,84.2,C-H
N#CCc2ccc1ccccc1c2,2,2,79.9,81.4,C-H
Cc1cc3CCc2cccc(c1)c23,0,0,87.78,84.3,C-H
CC1Cc2cccc3cccc1c23,0,0,98.98,84.3,C-H
c2ccc(Cc1ccccc1)cc2,4,4,81.64,84.5,C-H
Cc1cccc(Br)c1,0,0,89.21,89.7,C-H
Cc1ccccc1Br,0,0,89.72,90.2,C-H
Cc1ccc(Br)cc1,0,0,88.5,90.8,C-H
CC(C)(C)C1=CCc2ccccc12,6,6,77.39,78.5,C-H
c1ccc2c(c1)CC3CCCCC23,6,6,88.77,79.3,C-H
COC(=O)C2=Cc1ccccc1C2,12,12,78.79,79.2,C-H
COC(=O)C1=CCc2ccccc12,6,6,77.01,77.6,C-H
Cc2cc(C)c1CCCC(C)c1c2,9,9,81.98,80.9,C-H
CC(C)c1ccc(C(C)(C)C)cc1,1,1,83.63,83.5,C-H
c3ccc2Cc1ccccc1Cc2c3,4,4,75.55,76.3,C-H
CC3c1ccccc1c2ccccc23,1,1,76.53,75.4,C-H
c1ccc3c(c1)CCc2ccccc23,6,6,79.06,82.1,C-H
CC(c1ccccc1)c2ccccc2,1,1,81.1,82.8,C-H
c2ccc(CCc1ccccc1)cc2,4,4,85.2,87,C-H
CCc1ccc(Br)cc1,1,1,84.12,87.1,C-H
Cc2ccc(Oc1ccccc1)cc2,0,0,88.26,90.2,C-H
C3=C(N1CCCC1)c2ccccc2C3,13,13,69.58,70.3,C-H
C2=C(N1CCCC1)Cc3ccccc23,7,7,83.07,83.5,C-H
c1cc2Cc3cccc4ccc(c1)c2c34,3,3,81.94,81,C-H
Cc1cc(C(C)C)cc(C)c1C(C)C,11,11,86.27,87.9,C-H
N#CC3c1ccccc1c2ccccc23,2,2,72.89,74.8,C-H
N#Cc1ccc3c(c1)Cc2ccccc23,8,8,80.85,80,C-H
Cc2c1ccccc1cc3ccccc23,0,0,82.32,84.1,C-H
Cc2cc1ccccc1c3ccccc23,0,0,88.04,85.1,C-H
C3=C(c1ccccc1)c2ccccc2C3,14,14,75.55,75.3,C-H
CCC3c1ccccc1c2ccccc23,2,2,76.15,76.2,C-H
COc1ccc3c(c1)Cc2ccccc23,8,8,80.84,80,C-H
COC3c1ccccc1c2ccccc23,2,2,71.2,73,C-H
C2=C(N1CCCCC1)Cc3ccccc23,8,8,73.39,82.5,C-H
C3=C(N1CCCCC1)c2ccccc2C3,14,14,82.84,72.3,C-H
Oc2ccc(Cc1ccc(O)cc1)cc2,5,5,80.37,89.8,C-H
C2=C(N1CCOCC1)Cc3ccccc23,8,8,82.73,82.8,C-H
C3=C(N1CCOCC1)c2ccccc2C3,14,14,69.68,73.4,C-H
C1=c2ccc4cccc3ccc(CC1)c2c34,13,13,63.08,81.6,C-H
Cc3ccc(C2=Cc1ccccc1C2)cc3,13,13,79.96,79.1,C-H
Cc2c1ccccc1c(C)c3ccccc23,0,0,80.61,81.8,C-H
CC3c1ccccc1C(C)c2ccccc23,1,1,77.6,78.1,C-H
CCCC3c1ccccc1c2ccccc23,3,3,72.98,76.1,C-H
CN(C)c1ccc3c(c1)Cc2ccccc23,9,9,80.9,80,C-H
CN(C)C3c1ccccc1c2ccccc23,3,3,65.27,71.5,C-H
CCOC3c1ccccc1c2ccccc23,3,3,70.2,72.9,C-H
CSC3c1ccccc1c2ccccc23,2,2,74.05,74.6,C-H
c1ccc4c(c1)Cc3cc2ccccc2cc34,6,6,79.4,78.4,C-H
c1ccc2c(c1)Cc3c2ccc4ccccc34,6,6,79.62,78.7,C-H
c1ccc2c(c1)Cc3cccc4cccc2c34,6,6,67.39,66,C-H
N#CCc2c1ccccc1cc3ccccc23,2,2,77.54,78.7,C-H
Cc2c1ccccc1c(C#N)c3ccccc23,0,0,81.07,80,C-H
Cc2c1ccccc1c(C=O)c3ccccc23,0,0,79.26,80.4,C-H
COCc2c1ccccc1c(C)c3ccccc23,11,11,81.06,81.4,C-H
COc3ccc(C2=Cc1ccccc1C2)cc3,14,14,80.03,79.3,C-H
COCc2c1ccccc1cc3ccccc23,2,2,76.15,77.4,C-H
CC(C)(C)C3c1ccccc1c2ccccc23,4,4,80.4,79.9,C-H
C2=C(c1ccccc1)Cc3ccccc23,8,8,79.82,79.3,C-H
BrC2=Cc1ccccc1C2,9,9,79.93,80.9,C-H
CC(C)OC3c1ccccc1c2ccccc23,4,4,69.89,72.7,C-H
Cc2c1ccccc1c(Cl)c3ccccc23,0,0,81.47,80.8,C-H
CCSC3c1ccccc1c2ccccc23,3,3,73.48,74.3,C-H
Cc2ccc(S(=O)(=O)c1ccccc1)cc2,0,0,91.6,88,C-H
c1ccc3c(c1)c2ccccc2C3N4CCCC4,12,12,64.07,68,C-H
CC(C)(C)CC3c1ccccc1c2ccccc23,5,5,70.36,73.6,C-H
Cc2ccc(C)c3Cc1c(C)ccc(C)c1Cc23,7,7,75.62,83.3,C-H
CC(C)C3c1ccccc1c2ccccc23,3,3,75.85,77.3,C-H
CC(C)SC3c1ccccc1c2ccccc23,4,4,72.77,74.3,C-H
Cc3cc2c1ccccc1ccc2c4ccccc34,0,0,88.04,85.7,C-H
Cc3cccc4ccc2cc1ccccc1cc2c34,0,0,87.67,88.6,C-H
c4ccc(C3c1ccccc1c2ccccc23)cc4,4,4,74.14,74,C-H
CS(=O)(=O)C3c1ccccc1c2ccccc23,4,4,84.3,82.1,C-H
c3ccc(C(c1ccccc1)c2ccccc2)cc3,4,4,76.24,81,C-H
CC(C)c1cc(C(C)C)c(C(C)C)c(C(C)C)c1,10,10,80.11,89.7,C-H
