SMILES,id,qm,nmr,type
C(Cl)Cl,0,8.650526716040101,0.38822206521127056,H
C(Cl)(Cl)Cl,0,7.753499365864864,1.160624485947509,H
CO,0,9.498408461414089,-0.3241490793019443,H
CN(=O)=O,0,9.216861775928106,-0.03599895343143056,H
CCCl,0,10.415886466355966,-1.1245660956089272,H
CCCl,1,9.441858999212,-0.28412822848659514,H
C(C)(Cl)(Cl)Cl,1,9.81437307860127,-0.6443158858247373,H
CCN(=O)=O,0,10.38186874316292,-1.1045556702012527,H
CCN(=O)=O,1,9.129096050090045,0.03603857803619814,H
[SiH](C)(C)Cl,2,10.759945720815523,-1.5087662634362788,H
C=C(Cl)Cl,0,8.543991211169642,0.47626793700503856,H
C(=C\Cl)/Cl,0,8.20305358307368,0.8204472540170413,H
C(=C(Cl)Cl)Cl,0,8.167475046698838,0.8724743600769952,H
C(=O)C,0,6.842144551097735,2.1531415861681675,H
C(=O)C,2,9.979739234170292,-0.8764368205537624,H
O1CC1,1,9.946481907142736,-0.708349247129296,H
S(=O)(C)C,2,9.974536523564296,-0.7243575874554358,H
S1CC1,1,9.980059400976815,-0.8164055443307388,H
C(=O)(Cl)C,3,9.775953061818534,-0.660324226150877,H
C(#N)C,2,10.137821594890921,-0.948474352021391,H
C1CC1,0,10.89265486211922,-1.6368329860453963,H
C(C)(C)Cl,0,9.178521800847001,-0.08002188932831439,H
C(C)(C)Cl,1,10.393674894153447,-1.1205640105273924,H
C=C(C)Cl,0,8.767627725525813,0.3241887039067119,H
C=C(C)Cl,2,10.087155197758689,-0.8724347354722276,H
C=CCCl,1,8.344767415810832,0.6363513402664353,H
C=CCCl,2,9.172678756627962,-0.1280469103067334,H
C(=O)(C)C,2,10.006913391873914,-0.8804389056352975,H
C1COC1,0,9.974696606967557,-0.6363117156616676,H
C1COC1,1,8.964010040476731,0.16810738572685036,H
C(=O)(C)OC,2,10.008954455265496,-0.9244618415321815,H
C(=O)(C)OC,4,9.39375393653195,-0.26411780307892063,H
C(=O)N(C)C,0,7.644242443138961,1.432766271491883,H
C(=O)N(C)C,3,10.083193133527969,-0.5322575035417598,H
C(=O)N(C)C,4,9.875404876094677,-0.6002929499278533,H
CCC#N,1,9.9531653892289,-0.7883909487599944,H
CCC#N,0,10.47187563664664,-1.2246182226473,H
C[C@@H](C#N)Cl,1,10.226747925402625,-0.9844931177552051,H
C[C@@H](C#N)Cl,0,8.949762617586465,0.08806568409615198,H
c1ccon1,0,7.477035328432433,1.5728392493456052,H
c1ccon1,1,8.198291101826657,0.8044389136909017,H
c1ccon1,2,7.381065328177226,1.6728913763839781,H
C(=C)(C)C,1,8.963649852819392,0.11608027966689614,H
C(=C)(C)C,2,10.239554597663538,-1.0365202238151592,H
C1CCC1,0,10.12749621538056,-0.9404701818583211,H
C1CCC1,1,8.31451165259443,0.6563617656741098,H
C1CCC1,0,9.896816031280888,-0.6963429918846914,H
CC(C)(C)Cl,2,10.29486341349035,-1.080543159712043,H
C(=CCl)(C)C,1,8.461468216788392,0.5923284043695511,H
C(=CCl)(C)C,4,10.172399609995383,-1.0045035431628797,H
C(=CCl)(C)C,3,10.19737262090416,-1.0045035431628797,H
C1OCCC1,0,9.354133294224754,-0.2401052925897111,H
C1OCCC1,3,10.126775840065886,-1.0005014580813447,H
C1CC(=O)C1,1,9.621072369163134,-0.49223665272641065,H
C1CC(=O)C1,0,10.170838796813584,-0.9124555862875767,H
CC(C)C#N,1,9.789800276200644,-0.6443158858247373,H
CC(C)C#N,2,10.496888668406234,-1.2046077972396254,H
c1ccco1,0,7.80284507492019,1.2366641024966725,H
c1ccco1,1,8.190647119320923,0.7964347435278316,H
C(=O)(C)C#C,2,9.88897194452108,-0.7723826084338548,H
C(=O)(C)C#C,4,9.544192314746848,-0.3641699301172935,H
c1cccs1,0,7.810609119978368,1.1166015500506248,H
c1cccs1,1,7.908740246177604,1.0365598484199268,H
C1CCCC1,0,10.407402045983114,-1.1245660956089272,H
C(=CC)(C)C,3,10.342328142557355,-1.0925494149566477,H
C(=CC)(C)C,1,8.667455535934995,0.3241887039067119,H
C(=CC)(C)C,2,10.3865111618575,-1.132570265771997,H
C(=CC)(C)C,4,10.174640777641041,-1.0925494149566477,H
C1CC=CC1,0,10.29322255860692,-0.9844931177552051,H
C1CC=CC1,1,9.986302653704008,-0.8084013741676689,H
C1CC=CC1,2,8.445459876462252,0.5403012983095973,H
C(=S)=NC,3,9.613828595165554,-0.39418556822880524,H
C(=O)/C=C/C,0,6.986859947646037,2.075901344094544,H
C(=O)/C=C/C,2,8.378825159854694,0.7344024247640404,H
C(=O)/C=C/C,3,7.903417473019163,1.0285556782568568,H
C(=O)/C=C/C,4,10.126415652408546,-0.9116551692712697,H
C1OCC=C1,0,8.9907839896722,0.128086534911501,H
C1OCC=C1,3,8.411802340926542,0.6323492551849001,H
C1CC(=C)C1,3,8.948682054614453,0.1500980028599429,H
C1CC(=C)C1,1,9.775832999266088,-0.6503190134470398,H
C1CC(=C)C1,0,9.938877945487821,-0.9532768541192328,H
C(C#N)C#N,0,9.40191819009828,-0.28252739445398134,H
C(C)SCC,3,9.856675117913094,-0.7055477875722217,H
C(C)SCC,4,10.412484694036662,-1.222216971598379,H
N(C)(C)C#N,1,9.822057081957816,-0.5830839840772531,H
C=C(C=C)C,0,8.762024806411665,0.27216159784675803,H
C=C(C=C)C,2,8.104082019007324,0.8524639346693207,H
C=C(C=C)C,4,10.168957816825262,-0.9844931177552051,H
C1CC=CC1=O,0,10.041051177619407,-0.8364159697384133,H
